Player,Position,Predicted Points,Value
Ollie Watkins,3,22.71407055248706,79.0
André Onana,0,12.549476433434988,48.0
Phil Foden,2,21.57298770683015,81.0
Kevin De Bruyne,2,20.072161932473378,103.0
Cole Palmer,2,29.932521966238127,61.0
Benjamin White,1,23.89016707269358,60.0
Bruno Borges Fernandes,2,21.267566023641432,83.0
Andrew Robertson,1,17.026825423827066,65.0
Erling Haaland,3,24.253195369893934,141.0
Jean-Philippe Mateta,3,25.300743575495478,51.0
Diogo Dalot Teixeira,1,18.01169615916982,52.0
